From,To,Thick,Litho,Qual,Shade,Hue,Colour,Weath,Str,Rec Seq,Inter-rel,Percent
15.830,15.840,0.010,ST,,A,B,B,F,R4,,,0.0
15.840,15.860,0.020,SS,FM,A,B,B,F,R4,,,0.0
15.860,15.870,0.010,ST,,A,B,B,F,R4,,,0.0
15.870,16.040,0.170,SS,FM,A,B,B,F,R4,,,0.0
16.040,16.070,0.030,XM,,B,K,B,F,R3,,,0.0
16.070,16.220,0.150,ST,,A,B,B,F,R4,,,0.0
16.220,16.360,0.140,SS,FM,A,B,B,F,R4,,,0.0
16.360,16.440,0.080,ST,,A,B,B,F,R4,,,0.0
16.440,16.540,0.100,SS,FM,A,B,B,F,R4,,,0.0
16.540,16.580,0.040,ST,,A,B,B,F,R4,,,0.0
16.580,16.610,0.030,SS,FM,A,B,B,F,R4,,,0.0
16.610,16.830,0.220,ST,,A,B,B,F,R4,,,0.0
16.830,16.840,0.010,SS,FM,A,B,B,F,R4,,,0.0
16.840,16.850,0.010,ST,,A,B,B,F,R4,,,0.0
16.850,16.970,0.120,SS,FM,A,B,B,F,R4,,,0.0
16.970,16.980,0.010,XM,,B,K,B,F,R3,,,0.0
16.980,17.020,0.040,ST,,A,B,B,F,R4,,,0.0
17.020,17.040,0.020,SS,FM,A,B,B,F,R4,,,0.0
17.040,17.060,0.020,ST,,A,B,B,F,R4,,,0.0
17.060,17.070,0.010,XM,,B,K,B,F,R3,,,0.0
17.070,17.120,0.050,SS,FM,A,B,B,F,R4,,,0.0
17.120,17.230,0.110,ST,,A,B,B,F,R4,,,0.0
17.230,17.290,0.060,SS,FM,A,B,B,F,R4,,,0.0
17.290,21.370,4.080,ST,,A,B,B,F,R4,,,0.0
21.370,21.430,0.060,SS,FM,A,B,B,F,R4,,,0.0
21.430,21.560,0.130,ST,,A,B,B,F,R4,,,0.0
21.560,21.600,0.040,SS,FM,A,B,B,F,R4,,,0.0
21.600,22.810,1.210,ST,,A,B,B,F,R4,,,0.0
22.810,22.830,0.020,SS,FM,A,B,B,F,R4,,,0.0
22.830,22.840,0.010,SH,,,,,,,,,0.0
22.840,22.850,0.010,SS,FM,A,B,B,F,R4,,,0.0
22.850,23.350,0.500,ST,,A,B,B,F,R4,,,0.0
23.350,23.380,0.030,SS,FM,A,B,B,F,R4,,,0.0
23.380,23.390,0.010,ST,,A,B,B,F,R4,,,0.0
23.390,23.400,0.010,SS,FM,A,B,B,F,R4,,,0.0
23.400,23.670,0.270,ST,,A,B,B,F,R4,,,0.0
23.670,23.750,0.080,SS,FM,A,B,B,F,R4,,,0.0
23.750,23.780,0.030,ST,,A,B,B,F,R4,,,0.0
23.780,23.800,0.020,SS,FM,A,B,B,F,R4,,,0.0
23.800,23.960,0.160,ST,,A,B,B,F,R4,,,0.0
23.960,23.970,0.010,SS,FM,A,B,B,F,R4,,,0.0
23.970,23.980,0.010,ST,,A,B,B,F,R4,,,0.0
23.980,23.990,0.010,SS,FM,A,B,B,F,R4,,,0.0
23.990,24.050,0.060,ST,,A,B,B,F,R4,,,0.0
24.050,24.070,0.020,SS,FM,A,B,B,F,R4,,,0.0
24.070,24.100,0.030,ST,,A,B,B,F,R4,,,0.0
24.100,24.160,0.060,SS,FM,A,B,B,F,R4,,,0.0
24.160,24.170,0.010,ST,,A,B,B,F,R4,,,0.0
24.170,24.180,0.010,SS,FM,A,B,B,F,R4,,,0.0
24.180,24.790,0.610,ST,,A,B,B,F,R4,,,0.0
24.790,25.230,0.440,SS,FM,A,B,B,F,R4,,,0.0
25.230,25.260,0.030,ST,,A,B,B,F,R4,,,0.0
25.260,25.270,0.010,SS,FM,A,B,B,F,R4,,,0.0
25.270,25.340,0.070,ST,,A,B,B,F,R4,,,0.0
25.340,25.360,0.020,SS,FM,A,B,B,F,R4,,,0.0
25.360,25.530,0.170,ST,,A,B,B,F,R4,,,0.0
25.530,25.560,0.030,SS,FM,A,B,B,F,R4,,,0.0
25.560,25.570,0.010,ST,,A,B,B,F,R4,,,0.0
25.570,25.590,0.020,SS,FM,A,B,B,F,R4,,,0.0
25.590,25.940,0.350,ST,,A,B,B,F,R4,,,0.0
25.940,26.000,0.060,SS,FM,A,B,B,F,R4,,,0.0
26.000,26.010,0.010,ST,,A,B,B,F,R4,,,0.0
26.010,26.030,0.020,SS,FM,A,B,B,F,R4,,,0.0
26.030,26.040,0.010,ST,,A,B,B,F,R4,,,0.0
26.040,26.060,0.020,SS,FM,A,B,B,F,R4,,,0.0
26.060,26.070,0.010,ST,,A,B,B,F,R4,,,0.0
26.070,26.180,0.110,SS,FM,A,B,B,F,R4,,,0.0
26.180,26.290,0.110,ST,,A,B,B,F,R4,,,0.0
26.290,26.300,0.010,SS,FM,A,B,B,F,R4,,,0.0
26.300,26.330,0.030,ST,,A,B,B,F,R4,,,0.0
26.330,26.370,0.040,SS,FM,A,B,B,F,R4,,,0.0
26.370,26.730,0.360,ST,,A,B,B,F,R4,,,0.0
26.730,26.750,0.020,SS,FM,A,B,B,F,R4,,,0.0
26.750,26.820,0.070,ST,,A,B,B,F,R4,,,0.0
